Nonhuman_gene_name,Human_gene_name,Organism
SRSF11,SRSF11,Macaque
SPG21,SPG21,Macaque
SPTLC3,SPTLC3,Macaque
SPRY3,SPRY3,Macaque
SPI1,SPI1,Macaque
SSTR3,SSTR3,Macaque
SPATA4,SPATA4,Macaque
SPCS3,SPCS3,Macaque
STAC3,STAC3,Macaque
SRRM1,SRRM1,Macaque
ST8SIA5,ST8SIA5,Macaque
SNRPB2,SNRPB2,Macaque
SPDYE4,SPDYE4,Macaque
SOX5,SOX5,Macaque
STAR,STAR,Macaque
SPOCK2,SPOCK2,Macaque
SPRED2,SPRED2,Macaque
SRPRA,SRPRA,Macaque
SSH3,SSH3,Macaque
SRRD,SRRD,Macaque
SPAG4,SPAG4,Macaque
SNU13,SNU13,Macaque
SPOCK3,SPOCK3,Macaque
SPATA33,SPATA33,Macaque
SPZ1,SPZ1,Macaque
SORCS2,SORCS2,Macaque
SSTR2,SSTR2,Macaque
SNRPG,SNRPG,Macaque
SMOC2,SMOC2,Macaque
SREBF2,SREBF2,Macaque
SRSF10,SRSF10,Macaque
SOWAHD,SOWAHD,Macaque
SPDEF,SPDEF,Macaque
SPAG9,SPAG9,Macaque
SSPO,SSPO,Macaque
SPATA2L,SPATA2L,Macaque
SRM,SRM,Macaque
SNRPD1,SNRPD1,Macaque
SPRED3,SPRED3,Macaque
SORL1,SORL1,Macaque
STAMBPL1,STAMBPL1,Macaque
SPTB,SPTB,Macaque
SPPL2B,SPPL2B,Macaque
SNX20,SNX20,Macaque
SORBS2,SORBS2,Macaque
SPATA16,SPATA16,Macaque
STARD5,STARD5,Macaque
SPIRE2,SPIRE2,Macaque
STARD8,STARD8,Macaque
SRFBP1,SRFBP1,Macaque
SMPDL3A,SMPDL3A,Macaque
SOX30,SOX30,Macaque
SPATS1,SPATS1,Macaque
SPATA32,SPATA32,Macaque
SPC24,SPC24,Macaque
SNAP23,SNAP23,Macaque
SNF8,SNF8,Macaque
SP6,SP6,Macaque
STAT2,STAT2,Macaque
ST3GAL1,ST3GAL1,Macaque
SPATA6,SPATA6,Macaque
SP2,SP2,Macaque
SND1,SND1,Macaque
ST3GAL4,ST3GAL4,Macaque
SOCS4,SOCS4,Macaque
SNCAIP,SNCAIP,Macaque
SORBS1,SORBS1,Macaque
SOWAHB,SOWAHB,Macaque
SMPD4,SMPD4,Macaque
SNX18,SNX18,Macaque
SSU72,SSU72,Macaque
SPINDOC,SPINDOC,Macaque
STARD6,STARD6,Macaque
STC2,STC2,Macaque
SRSF7,SRSF7,Macaque
SPATA46,SPATA46,Macaque
SPAG6,SPAG6,Macaque
SPPL2A,SPPL2A,Macaque
STAT1,STAT1,Macaque
SPRYD4,SPRYD4,Macaque
SPHKAP,SPHKAP,Macaque
STARD9,STARD9,Macaque
SPTA1,SPTA1,Macaque
SP8,SP8,Macaque
STAP2,STAP2,Macaque
SNAPC2,SNAPC2,Macaque
STAB2,STAB2,Macaque
SPRN,SPRN,Macaque
SP110,SP110,Macaque
SOCS2,SOCS2,Macaque
SP4,SP4,Macaque
STAT4,STAT4,Macaque
SP140,SP140,Macaque
SSRP1,SSRP1,Macaque
SNTG2,SNTG2,Macaque
SPATA17,SPATA17,Macaque
SSTR4,SSTR4,Macaque
SRSF9,SRSF9,Macaque
SRRM3,SRRM3,Macaque
SPDYA,SPDYA,Macaque
SOX11,SOX11,Macaque
SRSF1,SRSF1,Macaque
SP100,SP100,Macaque
SNX27,SNX27,Macaque
STARD7,STARD7,Macaque
SPP2,SPP2,Macaque
SQSTM1,SQSTM1,Macaque
SNAP47,SNAP47,Macaque
SSR3,SSR3,Macaque
SOS1,SOS1,Macaque
SPINT3,SPINT3,Macaque
SPRYD3,SPRYD3,Macaque
SSB,SSB,Macaque
SOX3,SOX3,Macaque
SMPX,SMPX,Macaque
SPPL3,SPPL3,Macaque
SPATA3,SPATA3,Macaque
SMUG1,SMUG1,Macaque
SSH2,SSH2,Macaque
SNX5,SNX5,Macaque
ST6GALNAC3,ST6GALNAC3,Macaque
SRGAP1,SRGAP1,Macaque
SORCS3,SORCS3,Macaque
SOAT1,SOAT1,Macaque
SNRNP200,SNRNP200,Macaque
SPR,SPR,Macaque
ST6GALNAC5,ST6GALNAC5,Macaque
SMS,SMS,Macaque
SPTBN2,SPTBN2,Macaque
SPANXN4,SPANXN4,Macaque
SPANXN3,SPANXN3,Macaque
SPANXN2,SPANXN2,Macaque
SRPX,SRPX,Macaque
SRRM4,SRRM4,Macaque
SORCS1,SORCS1,Macaque
SOAT2,SOAT2,Macaque
SOX13,SOX13,Macaque
SPTLC2,SPTLC2,Macaque
SMPDL3B,SMPDL3B,Macaque
SNTB1,SNTB1,Macaque
ST8SIA4,ST8SIA4,Macaque
SP5,SP5,Macaque
ST3GAL2,ST3GAL2,Macaque
SNW1,SNW1,Macaque
ST6GAL2,ST6GAL2,Macaque
SPTBN1,SPTBN1,Macaque
SPATA18,SPATA18,Macaque
SMO,SMO,Macaque
SPRTN,SPRTN,Macaque
SSR2,SSR2,Macaque
SSH1,SSH1,Macaque
SNX10,SNX10,Macaque
SRP9,SRP9,Macaque
SPATS2L,SPATS2L,Macaque
SPAM1,SPAM1,Macaque
SP1,SP1,Macaque
STAG3,STAG3,Macaque
SNED1,SNED1,Macaque
SP3,SP3,Macaque
SPSB2,SPSB2,Macaque
SP9,SP9,Macaque
SNRNP35,SNRNP35,Macaque
SMYD2,SMYD2,Macaque
SRRM5,SRRM5,Macaque
SSX1,SSX1,Macaque
SUPT3H,SUPT3H,Macaque
TARS,TARS,Macaque
TBC1D2B,TBC1D2B,Macaque
TCP11L1,TCP11L1,Macaque
SULT1B1,SULT1B1,Macaque
SUGCT,SUGCT,Macaque
TDP2,TDP2,Macaque
SUFU,SUFU,Macaque
TBC1D21,TBC1D21,Macaque
STXBP5,STXBP5,Macaque
SUSD2,SUSD2,Macaque
SUPT16H,SUPT16H,Macaque
STOM,STOM,Macaque
SWAP70,SWAP70,Macaque
STK40,STK40,Macaque
SUPT20H,SUPT20H,Macaque
TAPT1,TAPT1,Macaque
TBL1X,TBL1X,Macaque
TCF7,TCF7,Macaque
STK19,STK19,Macaque
SULF2,SULF2,Macaque
STOML1,STOML1,Macaque
TBC1D5,TBC1D5,Macaque
STK38,STK38,Macaque
TAX1BP3,TAX1BP3,Macaque
SUN5,SUN5,Macaque
TECRL,TECRL,Macaque
TENM2,TENM2,Macaque
TEAD1,TEAD1,Macaque
SYNGR1,SYNGR1,Macaque
STUB1,STUB1,Macaque
TAB1,TAB1,Macaque
SV2B,SV2B,Macaque
SYCP2L,SYCP2L,Macaque
SZRD1,SZRD1,Macaque
STPG4,STPG4,Macaque
SYNJ1,SYNJ1,Macaque
STT3B,STT3B,Macaque
TCERG1,TCERG1,Macaque
TAS1R2,TAS1R2,Macaque
SYNCRIP,SYNCRIP,Macaque
TAS1R1,TAS1R1,Macaque
SYT8,SYT8,Macaque
STMN2,STMN2,Macaque
TAX1BP1,TAX1BP1,Macaque
TAF1L,TAF1L,Macaque
SUMF2,SUMF2,Macaque
STX11,STX11,Macaque
STK3,STK3,Macaque
TDRD6,TDRD6,Macaque
SYNGR2,SYNGR2,Macaque
SYBU,SYBU,Macaque
TCEANC,TCEANC,Macaque
TBX1,TBX1,Macaque
STMND1,STMND1,Macaque
TBC1D20,TBC1D20,Macaque
TAF8,TAF8,Macaque
TAB2,TAB2,Macaque
TCFL5,TCFL5,Macaque
TCF3,TCF3,Macaque
TACC1,TACC1,Macaque
TDRD1,TDRD1,Macaque
TCAP,TCAP,Macaque
TENM4,TENM4,Macaque
SV2C,SV2C,Macaque
TANC2,TANC2,Macaque
TCF19,TCF19,Macaque
SULF1,SULF1,Macaque
SUN1,SUN1,Macaque
SUMO3,SUMO3,Macaque
SUPT6H,SUPT6H,Macaque
TEAD4,TEAD4,Macaque
STK32A,STK32A,Macaque
SUSD1,SUSD1,Macaque
TBC1D22B,TBC1D22B,Macaque
STK33,STK33,Macaque
TDRD7,TDRD7,Macaque
TBL2,TBL2,Macaque
TCTEX1D4,TCTEX1D4,Macaque
SUN2,SUN2,Macaque
STOML2,STOML2,Macaque
SUPT5H,SUPT5H,Macaque
SVEP1,SVEP1,Macaque
TADA3,TADA3,Macaque
STK17A,STK17A,Macaque
SYNGR4,SYNGR4,Macaque
SYNPR,SYNPR,Macaque
STRA6,STRA6,Macaque
TAF4B,TAF4B,Macaque
SUGP2,SUGP2,Macaque
TBXA2R,TBXA2R,Macaque
TBCC,TBCC,Macaque
SYNE1,SYNE1,Macaque
STON2,STON2,Macaque
TBC1D7,TBC1D7,Macaque
STMN4,STMN4,Macaque
STK35,STK35,Macaque
SUCLG2,SUCLG2,Macaque
TAGLN,TAGLN,Macaque
STRN4,STRN4,Macaque
TAF5,TAF5,Macaque
SULT2B1,SULT2B1,Macaque
STX1A,STX1A,Macaque
TAF12,TAF12,Macaque
TCEANC2,TCEANC2,Macaque
TBC1D13,TBC1D13,Macaque
SYT13,SYT13,Macaque
TAF15,TAF15,Macaque
TBL1Y,TBL1Y,Macaque
SUB1,SUB1,Macaque
TCOF1,TCOF1,Macaque
STRADA,STRADA,Macaque
STOML3,STOML3,Macaque
TEKT3,TEKT3,Macaque
TC2N,TC2N,Macaque
TBX4,TBX4,Macaque
SUSD5,SUSD5,Macaque
SUZ12,SUZ12,Macaque
TAF9,TAF9,Macaque
TAB3,TAB3,Macaque
STX3,STX3,Macaque
SYMPK,SYMPK,Macaque
SYVN1,SYVN1,Macaque
TDRD15,TDRD15,Macaque
TCF4,TCF4,Macaque
TBC1D2,TBC1D2,Macaque
TADA2A,TADA2A,Macaque
SUGT1,SUGT1,Macaque
SYN3,SYN3,Macaque
SUSD6,SUSD6,Macaque
STX18,STX18,Macaque
SYT17,SYT17,Macaque
SUPT7L,SUPT7L,Macaque
SYCP1,SYCP1,Macaque
SUMF1,SUMF1,Macaque
TENT4A,TENT4A,Macaque
TCN1,TCN1,Macaque
STK31,STK31,Macaque
TCF15,TCF15,Macaque
STPG3,STPG3,Macaque
SYCP2,SYCP2,Macaque
STRBP,STRBP,Macaque
SYNRG,SYNRG,Macaque
TBC1D28,TBC1D28,Macaque
SULT2A1,SULT2A1,Macaque
TAC1,TAC1,Macaque
SURF1,SURF1,Macaque
TCF24,TCF24,Macaque
SURF2,SURF2,Macaque
STK32B,STK32B,Macaque
STX7,STX7,Macaque
TAAR9,TAAR9,Macaque
TAAR8,TAAR8,Macaque
TAAR6,TAAR6,Macaque
TAAR5,TAAR5,Macaque
SYTL4,SYTL4,Macaque
TEDC1,TEDC1,Macaque
TAAR2,TAAR2,Macaque
TAAR1,TAAR1,Macaque
TACC3,TACC3,Macaque
SURF4,SURF4,Macaque
TENM1,TENM1,Macaque
STXBP3,STXBP3,Macaque
TAF1,TAF1,Macaque
TBX18,TBX18,Macaque
TDRKH,TDRKH,Macaque
TCF7L1,TCF7L1,Macaque
TACR2,TACR2,Macaque
SYDE1,SYDE1,Macaque
SV2A,SV2A,Macaque
TBCA,TBCA,Macaque
TECPR1,TECPR1,Macaque
TECTB,TECTB,Macaque
TAS2R4,TAS2R4,Macaque
TEAD2,TEAD2,Macaque
TANGO2,TANGO2,Macaque
STX1B,STX1B,Macaque
STKLD1,STKLD1,Macaque
TAF7L,TAF7L,Macaque
TDRD3,TDRD3,Macaque
TENT5C,TENT5C,Macaque
SVIL,SVIL,Macaque
TCF20,TCF20,Macaque
STK38L,STK38L,Macaque
TAF4,TAF4,Macaque
TAS2R38,TAS2R38,Macaque
STX4,STX4,Macaque
TCF12,TCF12,Macaque
TCTN1,TCTN1,Macaque
TDRP,TDRP,Macaque
TAGAP,TAGAP,Macaque
SYK,SYK,Macaque
STYX,STYX,Macaque
TEP1,TEP1,Macaque
STRA8,STRA8,Macaque
SYNE2,SYNE2,Macaque
TBC1D1,TBC1D1,Macaque
SYCE2,SYCE2,Macaque
TAC3,TAC3,Macaque
SYT7,SYT7,Macaque
TAMM41,TAMM41,Macaque
TEF,TEF,Macaque
STOX1,STOX1,Macaque
TCEA3,TCEA3,Macaque
TEKT1,TEKT1,Macaque
TAF13,TAF13,Macaque
TCHHL1,TCHHL1,Macaque
TCHH,TCHH,Macaque
SYP,SYP,Macaque
TBX15,TBX15,Macaque
TDO2,TDO2,Macaque
SYTL2,SYTL2,Macaque
STXBP5L,STXBP5L,Macaque
STMP1,STMP1,Macaque
STK24,STK24,Macaque
STRC,STRC,Macaque
TCAF2,TCAF2,Macaque
TANGO6,TANGO6,Macaque
TCP1,TCP1,Macaque
TALDO1,TALDO1,Macaque
TCAF1,TCAF1,Macaque
SYNGAP1,SYNGAP1,Macaque
TBC1D23,TBC1D23,Macaque
SYNC,SYNC,Macaque
TANC1,TANC1,Macaque
SYN2,SYN2,Macaque
SVBP,SVBP,Macaque
TBRG1,TBRG1,Macaque
TCF7L2,TCF7L2,Macaque
SULT1A3,SULT1A3,Macaque
TCEAL2,TCEAL2,Macaque
STXBP2,STXBP2,Macaque
TARM1,TARM1,Macaque
SYPL1,SYPL1,Macaque
SYAP1,SYAP1,Macaque
TCF21,TCF21,Macaque
TCEA2,TCEA2,Macaque
SYNJ2,SYNJ2,Macaque
SWSAP1,SWSAP1,Macaque
TENT2,TENT2,Macaque
TCTN3,TCTN3,Macaque
TAS2R40,TAS2R40,Macaque
TBC1D25,TBC1D25,Macaque
TCAIM,TCAIM,Macaque
STRAP,STRAP,Macaque
SYCE1L,SYCE1L,Macaque
SVOPL,SVOPL,Macaque
TACR1,TACR1,Macaque
TBC1D10B,TBC1D10B,Macaque
TBC1D8,TBC1D8,Macaque
TACC2,TACC2,Macaque
TARS2,TARS2,Macaque
SYPL2,SYPL2,Macaque
TEAD3,TEAD3,Macaque
TARSL2,TARSL2,Macaque
TCF23,TCF23,Macaque
TAF3,TAF3,Macaque
TCEAL8,TCEAL8,Macaque
TAF1C,TAF1C,Macaque
TCERG1L,TCERG1L,Macaque
TADA2B,TADA2B,Macaque
TBC1D14,TBC1D14,Macaque
SULT4A1,SULT4A1,Macaque
TBPL1,TBPL1,Macaque
TCIM,TCIM,Macaque
STYK1,STYK1,Macaque
TAGLN3,TAGLN3,Macaque
TATDN1,TATDN1,Macaque
SYT5,SYT5,Macaque
TBL3,TBL3,Macaque
STX17,STX17,Macaque
TANK,TANK,Macaque
TBXAS1,TBXAS1,Macaque
SYNPO2L,SYNPO2L,Macaque
TDP1,TDP1,Macaque
SYNGR3,SYNGR3,Macaque
SUV39H1,SUV39H1,Macaque
STN1,STN1,Macaque
TBC1D32,TBC1D32,Macaque
TENT4B,TENT4B,Macaque
SYNPO,SYNPO,Macaque
SYF2,SYF2,Macaque
TBC1D10C,TBC1D10C,Macaque
TBR1,TBR1,Macaque
TAS2R19,TAS2R19,Macaque
TAS2R46,TAS2R46,Macaque
TCEA1,TCEA1,Macaque
TBKBP1,TBKBP1,Macaque
TENM3,TENM3,Macaque
TASP1,TASP1,Macaque
TBX21,TBX21,Macaque
STK32C,STK32C,Macaque
TASOR2,TASOR2,Macaque
SYTL1,SYTL1,Macaque
TBC1D4,TBC1D4,Macaque
TBATA,TBATA,Macaque
STX10,STX10,Macaque
SYT4,SYT4,Macaque
STRN,STRN,Macaque
STX8,STX8,Macaque
SYNM,SYNM,Macaque
STX19,STX19,Macaque
TAPBP,TAPBP,Macaque
TBC1D16,TBC1D16,Macaque
TEKT2,TEKT2,Macaque
STK4,STK4,Macaque
SYT6,SYT6,Macaque
TCEAL5,TCEAL5,Macaque
TBC1D9,TBC1D9,Macaque
SUCLG1,SUCLG1,Macaque
TAF11,TAF11,Macaque
TCN2,TCN2,Macaque
TCEAL7,TCEAL7,Macaque
TCEAL9,TCEAL9,Macaque
TCEAL4,TCEAL4,Macaque
TDRD9,TDRD9,Macaque
TDRD10,TDRD10,Macaque
TCEAL1,TCEAL1,Macaque
TEK,TEK,Macaque
TAL2,TAL2,Macaque
SYT9,SYT9,Macaque
SULT6B1,SULT6B1,Macaque
TBCD,TBCD,Macaque
TAT,TAT,Macaque
TCTE1,TCTE1,Macaque
STPG1,STPG1,Macaque
TCF25,TCF25,Macaque
TARBP2,TARBP2,Macaque
TCIRG1,TCIRG1,Macaque
SYNE3,SYNE3,Macaque
TEPSIN,TEPSIN,Macaque
STT3A,STT3A,Macaque
TBCCD1,TBCCD1,Macaque
SYNE4,SYNE4,Macaque
TASOR,TASOR,Macaque
TBRG4,TBRG4,Macaque
TCTE3,TCTE3,Macaque
STXBP1,STXBP1,Macaque
SYNDIG1L,SYNDIG1L,Macaque
SVIP,SVIP,Macaque
TCL1B,TCL1B,Macaque
SYT2,SYT2,Macaque
TBC1D19,TBC1D19,Macaque
TAZ,TAZ,Macaque
TCP11,TCP11,Macaque
STYXL1,STYXL1,Macaque
SZT2,SZT2,Macaque
STUM,STUM,Macaque
SYT10,SYT10,Macaque
TBX5,TBX5,Macaque
TENT5A,TENT5A,Macaque
SYS1,SYS1,Macaque
TBX20,TBX20,Macaque
STRADB,STRADB,Macaque
TBPL2,TBPL2,Macaque
TBX3,TBX3,Macaque
TDG,TDG,Macaque
STRN3,STRN3,Macaque
STK36,STK36,Macaque
STOX2,STOX2,Macaque
TECPR2,TECPR2,Macaque
SYCE1,SYCE1,Macaque
STS,STS,Macaque
TBC1D8B,TBC1D8B,Macaque
TAF6L,TAF6L,Macaque
SYNPO2,SYNPO2,Macaque
STRIP1,STRIP1,Macaque
TAOK1,TAOK1,Macaque
TBC1D9B,TBC1D9B,Macaque
TBL1XR1,TBL1XR1,Macaque
TAF2,TAF2,Macaque
STK26,STK26,Macaque
TADA1,TADA1,Macaque
TBP,TBP,Macaque
STPG2,STPG2,Macaque
TDRD5,TDRD5,Macaque
TAOK3,TAOK3,Macaque
TCP11L2,TCP11L2,Macaque
SYTL5,SYTL5,Macaque
TAF1A,TAF1A,Macaque
STX5,STX5,Macaque
TBC1D22A,TBC1D22A,Macaque
TEC,TEC,Macaque
TAF6,TAF6,Macaque
SUSD3,SUSD3,Macaque
TAGLN2,TAGLN2,Macaque
SUPT4H1,SUPT4H1,Macaque
TBK1,TBK1,Macaque
STX2,STX2,Macaque
TENT5B,TENT5B,Macaque
SUSD4,SUSD4,Macaque
STX16,STX16,Macaque
TAF1B,TAF1B,Macaque
TEDC2,TEDC2,Macaque
TBC1D30,TBC1D30,Macaque
SYNDIG1,SYNDIG1,Macaque
SYT1,SYT1,Macaque
STX6,STX6,Macaque
STK39,STK39,Macaque
TAF5L,TAF5L,Macaque
SUN3,SUN3,Macaque
TAF9B,TAF9B,Macaque
TBC1D24,TBC1D24,Macaque
TEDDM1,TEDDM1,Macaque
STMN1,STMN1,Macaque
STK16,STK16,Macaque
SULT1C3,SULT1C3,Macaque
SULT1C2,SULT1C2,Macaque
SYT11,SYT11,Macaque
TBX22,TBX22,Macaque
TENT5D,TENT5D,Macaque
STRIP2,STRIP2,Macaque
TEPP,TEPP,Macaque
SVOP,SVOP,Macaque
TEKT5,TEKT5,Macaque
TBCK,TBCK,Macaque
TARBP1,TARBP1,Macaque
SYT12,SYT12,Macaque
TBCE,TBCE,Macaque
SUCNR1,SUCNR1,Macaque
SWT1,SWT1,Macaque
SUCO,SUCO,Macaque
STK11IP,STK11IP,Macaque
SYT14,SYT14,Macaque
TCHP,TCHP,Macaque
TBC1D17,TBC1D17,Macaque
TAOK2,TAOK2,Macaque
TBXT,TBXT,Macaque
STK25,STK25,Macaque
TBC1D15,TBC1D15,Macaque
TATDN3,TATDN3,Macaque
STMN3,STMN3,Macaque
TACSTD2,TACSTD2,Macaque
SYN1,SYN1,Macaque
STXBP4,STXBP4,Macaque
TBX6,TBX6,Macaque
TMEM184B,TMEM184B,Macaque
TMEM43,TMEM43,Macaque
TMEM241,TMEM241,Macaque
TMEM39B,TMEM39B,Macaque
TGFBI,TGFBI,Macaque
TMEM38A,TMEM38A,Macaque
TGFBR2,TGFBR2,Macaque
TMC8,TMC8,Macaque
TMC6,TMC6,Macaque
THOC6,THOC6,Macaque
TMEM147,TMEM147,Macaque
THRSP,THRSP,Macaque
THEG,THEG,Macaque
TMEM74B,TMEM74B,Macaque
TMED10,TMED10,Macaque
TMEM273,TMEM273,Macaque
TERF1,TERF1,Macaque
TLK2,TLK2,Macaque
TMEM259,TMEM259,Macaque
TMEM51,TMEM51,Macaque
TMEM202,TMEM202,Macaque
THOC5,THOC5,Macaque
TMEM178A,TMEM178A,Macaque
TIGD3,TIGD3,Macaque
TMEM53,TMEM53,Macaque
TMCO4,TMCO4,Macaque
TESK1,TESK1,Macaque
TMEM175,TMEM175,Macaque
TLR7,TLR7,Macaque
TLR8,TLR8,Macaque
TMEM191C,TMEM191C,Macaque
TM6SF1,TM6SF1,Macaque
TEX2,TEX2,Macaque
TMEM30B,TMEM30B,Macaque
TM7SF2,TM7SF2,Macaque
TKFC,TKFC,Macaque
TMEM215,TMEM215,Macaque
TMEM165,TMEM165,Macaque
TMEM121B,TMEM121B,Macaque
TMEM262,TMEM262,Macaque
TMEM138,TMEM138,Macaque
TMEM62,TMEM62,Macaque
TEX38,TEX38,Macaque
TMEM26,TMEM26,Macaque
TMEM245,TMEM245,Macaque
TGFB3,TGFB3,Macaque
TK1,TK1,Macaque
TLDC2,TLDC2,Macaque
TINAGL1,TINAGL1,Macaque
TFAP2D,TFAP2D,Macaque
TMEM159,TMEM159,Macaque
TFAP2B,TFAP2B,Macaque
THAP3,THAP3,Macaque
THOC1,THOC1,Macaque
TMEM252,TMEM252,Macaque
TIAM1,TIAM1,Macaque
TEX43,TEX43,Macaque
TEX26,TEX26,Macaque
TMEM86B,TMEM86B,Macaque
TMEM260,TMEM260,Macaque
TIPIN,TIPIN,Macaque
TMCO5A,TMCO5A,Macaque
TIGD6,TIGD6,Macaque
TIMM8B,TIMM8B,Macaque
THUMPD2,THUMPD2,Macaque
TMCO2,TMCO2,Macaque
TMCO6,TMCO6,Macaque
TMEM217,TMEM217,Macaque
TGDS,TGDS,Macaque
TIGD7,TIGD7,Macaque
TMEM235,TMEM235,Macaque
THRA,THRA,Macaque
TMEM143,TMEM143,Macaque
TGM5,TGM5,Macaque
TMEM250,TMEM250,Macaque
TMEM88,TMEM88,Macaque
TGM7,TGM7,Macaque
TM2D2,TM2D2,Macaque
TLN1,TLN1,Macaque
TKTL2,TKTL2,Macaque
TMA16,TMA16,Macaque
TMEM267,TMEM267,Macaque
TFAP2C,TFAP2C,Macaque
THAP1,THAP1,Macaque
TMEM150B,TMEM150B,Macaque
TMEM59,TMEM59,Macaque
TEX52,TEX52,Macaque
TIMM22,TIMM22,Macaque
TEX12,TEX12,Macaque
THOC7,THOC7,Macaque
TMEM154,TMEM154,Macaque
TMEM101,TMEM101,Macaque
TINAG,TINAG,Macaque
TM4SF5,TM4SF5,Macaque
TIGD4,TIGD4,Macaque
TLR9,TLR9,Macaque
TMEM268,TMEM268,Macaque
TMEM52,TMEM52,Macaque
TMEM50B,TMEM50B,Macaque
TLR2,TLR2,Macaque
TIGAR,TIGAR,Macaque
TIMM21,TIMM21,Macaque
TMEM161A,TMEM161A,Macaque
TMEM220,TMEM220,Macaque
TMEM190,TMEM190,Macaque
TMEM238,TMEM238,Macaque
THSD1,THSD1,Macaque
TMEM256,TMEM256,Macaque
TMEM40,TMEM40,Macaque
TMEM192,TMEM192,Macaque
TIAM2,TIAM2,Macaque
TMEM131L,TMEM131L,Macaque
THBS1,THBS1,Macaque
TJP3,TJP3,Macaque
TMEM59L,TMEM59L,Macaque
TMEM211,TMEM211,Macaque
TFB1M,TFB1M,Macaque
TERB2,TERB2,Macaque
TICRR,TICRR,Macaque
TMEM155,TMEM155,Macaque
TMC7,TMC7,Macaque
THEM6,THEM6,Macaque
TMEM108,TMEM108,Macaque
TERT,TERT,Macaque
TFAM,TFAM,Macaque
TGIF2LX,TGIF2LX,Macaque
TMEM70,TMEM70,Macaque
TIMP3,TIMP3,Macaque
TMEM207,TMEM207,Macaque
TICAM1,TICAM1,Macaque
THSD8,THSD8,Macaque
THOP1,THOP1,Macaque
THEGL,THEGL,Macaque
THTPA,THTPA,Macaque
TMEM200B,TMEM200B,Macaque
TEX264,TEX264,Macaque
TMEM87A,TMEM87A,Macaque
TMEM68,TMEM68,Macaque
TM9SF4,TM9SF4,Macaque
TGS1,TGS1,Macaque
THOC2,THOC2,Macaque
THEMIS,THEMIS,Macaque
TMEM216,TMEM216,Macaque
TMC2,TMC2,Macaque
TFDP2,TFDP2,Macaque
TMEM184A,TMEM184A,Macaque
TMEM117,TMEM117,Macaque
TF,TF,Macaque
TLL1,TLL1,Macaque
TLR4,TLR4,Macaque
TMEM270,TMEM270,Macaque
THOC3,THOC3,Macaque
TMEM131,TMEM131,Macaque
TIFAB,TIFAB,Macaque
TIMM17B,TIMM17B,Macaque
TMEM114,TMEM114,Macaque
THAP12,THAP12,Macaque
TGM2,TGM2,Macaque
TET1,TET1,Macaque
TMEM41B,TMEM41B,Macaque
TMEM244,TMEM244,Macaque
TMEM204,TMEM204,Macaque
TJAP1,TJAP1,Macaque
THADA,THADA,Macaque
TMEM123,TMEM123,Macaque
TLE6,TLE6,Macaque
TMED4,TMED4,Macaque
TMEM185A,TMEM185A,Macaque
TMED5,TMED5,Macaque
TMEM209,TMEM209,Macaque
TEX13D,TEX13D,Macaque
TMEM129,TMEM129,Macaque
TESPA1,TESPA1,Macaque
TMEM181,TMEM181,Macaque
TMC5,TMC5,Macaque
TLE2,TLE2,Macaque
TFR2,TFR2,Macaque
TMEM179,TMEM179,Macaque
TMEM44,TMEM44,Macaque
TEX46,TEX46,Macaque
TMCO3,TMCO3,Macaque
TEX11,TEX11,Macaque
TMEM232,TMEM232,Macaque
TEX9,TEX9,Macaque
TFDP1,TFDP1,Macaque
TMEM140,TMEM140,Macaque
TFCP2,TFCP2,Macaque
TMEM168,TMEM168,Macaque
TM7SF3,TM7SF3,Macaque
TMEM106A,TMEM106A,Macaque
TMEM35A,TMEM35A,Macaque
TFB2M,TFB2M,Macaque
TM6SF2,TM6SF2,Macaque
TMEM107,TMEM107,Macaque
TMEM121,TMEM121,Macaque
TGOLN2,TGOLN2,Macaque
TMED3,TMED3,Macaque
TMEM200A,TMEM200A,Macaque
THNSL2,THNSL2,Macaque
THNSL1,THNSL1,Macaque
TKT,TKT,Macaque
TMEM130,TMEM130,Macaque
TMEM225,TMEM225,Macaque
TEX37,TEX37,Macaque
TMEM39A,TMEM39A,Macaque
THEM5,THEM5,Macaque
THEM4,THEM4,Macaque
TMEM37,TMEM37,Macaque
TESK2,TESK2,Macaque
TFRC,TFRC,Macaque
TIMM44,TIMM44,Macaque
TMEM141,TMEM141,Macaque
TLX1,TLX1,Macaque
TGFBR3,TGFBR3,Macaque
THAP6,THAP6,Macaque
TIMMDC1,TIMMDC1,Macaque
TMED9,TMED9,Macaque
TMEM177,TMEM177,Macaque
TMEM248,TMEM248,Macaque
TMEM170A,TMEM170A,Macaque
THY1,THY1,Macaque
TJP1,TJP1,Macaque
TFEC,TFEC,Macaque
TEX13C,TEX13C,Macaque
TES,TES,Macaque
TIMD4,TIMD4,Macaque
TMEM52B,TMEM52B,Macaque
TMEM231,TMEM231,Macaque
TEX36,TEX36,Macaque
TMEM258,TMEM258,Macaque
TERF2,TERF2,Macaque
TMEM71,TMEM71,Macaque
THRB,THRB,Macaque
THSD4,THSD4,Macaque
TMEM30A,TMEM30A,Macaque
TMEM86A,TMEM86A,Macaque
TM2D1,TM2D1,Macaque
TEX33,TEX33,Macaque
THUMPD3,THUMPD3,Macaque
THYN1,THYN1,Macaque
TMBIM6,TMBIM6,Macaque
TLR10,TLR10,Macaque
TLR1,TLR1,Macaque
TLR6,TLR6,Macaque
TIMP4,TIMP4,Macaque
TERF2IP,TERF2IP,Macaque
